match_id,date,season,matchday,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result
77262,2025-08-23T13:30:00Z,2025,1,80,1. FC Union Berlin,16,VfB Stuttgart,2,1,0
77256,2025-08-22T18:30:00Z,2025,1,40,FC Bayern München,1635,RB Leipzig,6,0,0
77257,2025-08-23T13:30:00Z,2025,1,6,Bayer 04 Leverkusen,175,TSG Hoffenheim,1,2,2
77258,2025-08-23T13:30:00Z,2025,1,91,Eintracht Frankfurt,134,SV Werder Bremen,4,1,0
77259,2025-08-23T13:30:00Z,2025,1,112,SC Freiburg,95,FC Augsburg,1,3,2
77264,2025-08-23T13:30:00Z,2025,1,199,1. FC Heidenheim 1846,131,VfL Wolfsburg,1,3,2
77263,2025-08-23T16:30:00Z,2025,1,98,FC St. Pauli,7,Borussia Dortmund,3,3,1
77260,2025-08-24T13:30:00Z,2025,1,81,1. FSV Mainz 05,65,1. FC Köln,0,1,2
77261,2025-08-24T15:30:00Z,2025,1,87,Borussia Mönchengladbach,100,Hamburger SV,0,0,1
77273,2025-08-29T18:30:00Z,2025,2,100,Hamburger SV,98,FC St. Pauli,0,2,2
77266,2025-08-30T13:30:00Z,2025,2,1635,RB Leipzig,199,1. FC Heidenheim 1846,2,0,0
77267,2025-08-30T13:30:00Z,2025,2,134,SV Werder Bremen,6,Bayer 04 Leverkusen,3,3,1
77268,2025-08-30T13:30:00Z,2025,2,16,VfB Stuttgart,87,Borussia Mönchengladbach,1,0,0
77271,2025-08-30T13:30:00Z,2025,2,175,TSG Hoffenheim,91,Eintracht Frankfurt,1,3,2
77270,2025-08-30T16:30:00Z,2025,2,95,FC Augsburg,40,FC Bayern München,2,3,2
77269,2025-08-31T13:30:00Z,2025,2,131,VfL Wolfsburg,81,1. FSV Mainz 05,1,1,1
77265,2025-08-31T15:30:00Z,2025,2,7,Borussia Dortmund,80,1. FC Union Berlin,3,0,0
77272,2025-08-31T17:30:00Z,2025,2,65,1. FC Köln,112,SC Freiburg,4,1,0
77275,2025-09-12T18:30:00Z,2025,3,6,Bayer 04 Leverkusen,91,Eintracht Frankfurt,3,1,0
77276,2025-09-13T13:30:00Z,2025,3,112,SC Freiburg,16,VfB Stuttgart,3,1,0
77277,2025-09-13T13:30:00Z,2025,3,81,1. FSV Mainz 05,1635,RB Leipzig,0,1,2
77279,2025-09-13T13:30:00Z,2025,3,131,VfL Wolfsburg,65,1. FC Köln,3,3,1
77280,2025-09-13T13:30:00Z,2025,3,80,1. FC Union Berlin,175,TSG Hoffenheim,2,4,2
77282,2025-09-13T13:30:00Z,2025,3,199,1. FC Heidenheim 1846,7,Borussia Dortmund,0,2,2
77274,2025-09-13T16:30:00Z,2025,3,40,FC Bayern München,100,Hamburger SV,5,0,0
77281,2025-09-14T13:30:00Z,2025,3,98,FC St. Pauli,95,FC Augsburg,2,1,0
77278,2025-09-14T15:30:00Z,2025,3,87,Borussia Mönchengladbach,134,SV Werder Bremen,0,4,2
77288,2025-09-19T18:30:00Z,2025,4,16,VfB Stuttgart,98,FC St. Pauli,2,0,0
77287,2025-09-20T13:30:00Z,2025,4,134,SV Werder Bremen,112,SC Freiburg,0,3,2
77289,2025-09-20T13:30:00Z,2025,4,95,FC Augsburg,81,1. FSV Mainz 05,1,4,2
77290,2025-09-20T13:30:00Z,2025,4,175,TSG Hoffenheim,40,FC Bayern München,1,4,2
77291,2025-09-20T13:30:00Z,2025,4,100,Hamburger SV,199,1. FC Heidenheim 1846,2,1,0
77286,2025-09-20T16:30:00Z,2025,4,1635,RB Leipzig,65,1. FC Köln,3,1,0
77284,2025-09-21T13:30:00Z,2025,4,91,Eintracht Frankfurt,80,1. FC Union Berlin,3,4,2
77283,2025-09-21T15:30:00Z,2025,4,6,Bayer 04 Leverkusen,87,Borussia Mönchengladbach,1,1,1
77285,2025-09-21T17:30:00Z,2025,4,7,Borussia Dortmund,131,VfL Wolfsburg,1,0,0
77292,2025-09-26T18:30:00Z,2025,5,40,FC Bayern München,134,SV Werder Bremen,4,0,0
77294,2025-09-27T13:30:00Z,2025,5,81,1. FSV Mainz 05,7,Borussia Dortmund,0,2,2
77296,2025-09-27T13:30:00Z,2025,5,131,VfL Wolfsburg,1635,RB Leipzig,0,1,2
77298,2025-09-27T13:30:00Z,2025,5,98,FC St. Pauli,6,Bayer 04 Leverkusen,1,2,2
77299,2025-09-27T13:30:00Z,2025,5,199,1. FC Heidenheim 1846,95,FC Augsburg,2,1,0
77295,2025-09-27T16:30:00Z,2025,5,87,Borussia Mönchengladbach,91,Eintracht Frankfurt,4,6,2
77293,2025-09-28T13:30:00Z,2025,5,112,SC Freiburg,175,TSG Hoffenheim,1,1,1
77300,2025-09-28T15:30:00Z,2025,5,65,1. FC Köln,16,VfB Stuttgart,1,2,2
77297,2025-09-28T17:30:00Z,2025,5,80,1. FC Union Berlin,100,Hamburger SV,0,0,1
77301,2025-10-04T13:30:00Z,2025,6,6,Bayer 04 Leverkusen,80,1. FC Union Berlin,2,0,0
77304,2025-10-04T13:30:00Z,2025,6,134,SV Werder Bremen,98,FC St. Pauli,1,0,0
77305,2025-10-05T13:30:00Z,2025,6,16,VfB Stuttgart,199,1. FC Heidenheim 1846,1,0,0
77306,2025-10-05T17:30:00Z,2025,6,87,Borussia Mönchengladbach,112,SC Freiburg,0,0,1
77308,2025-10-03T18:30:00Z,2025,6,175,TSG Hoffenheim,65,1. FC Köln,0,1,2
77303,2025-10-04T13:30:00Z,2025,6,7,Borussia Dortmund,1635,RB Leipzig,1,1,1
77307,2025-10-04T13:30:00Z,2025,6,95,FC Augsburg,131,VfL Wolfsburg,3,1,0
77302,2025-10-04T16:30:00Z,2025,6,91,Eintracht Frankfurt,40,FC Bayern München,0,3,2
77309,2025-10-05T15:30:00Z,2025,6,100,Hamburger SV,81,1. FSV Mainz 05,4,0,0
77316,2025-10-19T15:30:00Z,2025,7,98,FC St. Pauli,175,TSG Hoffenheim,0,3,2
77315,2025-10-17T18:30:00Z,2025,7,80,1. FC Union Berlin,87,Borussia Mönchengladbach,3,1,0
77312,2025-10-18T13:30:00Z,2025,7,81,1. FSV Mainz 05,6,Bayer 04 Leverkusen,3,4,2
77313,2025-10-18T13:30:00Z,2025,7,1635,RB Leipzig,100,Hamburger SV,2,1,0
77314,2025-10-18T13:30:00Z,2025,7,131,VfL Wolfsburg,16,VfB Stuttgart,0,3,2
77317,2025-10-18T13:30:00Z,2025,7,199,1. FC Heidenheim 1846,134,SV Werder Bremen,2,2,1
77318,2025-10-18T13:30:00Z,2025,7,65,1. FC Köln,95,FC Augsburg,1,1,1
77310,2025-10-18T16:30:00Z,2025,7,40,FC Bayern München,7,Borussia Dortmund,2,1,0
77311,2025-10-19T13:30:00Z,2025,7,112,SC Freiburg,91,Eintracht Frankfurt,2,2,1
77321,2025-10-25T16:30:00Z,2025,8,7,Borussia Dortmund,65,1. FC Köln,1,0,0
77322,2025-10-24T18:30:00Z,2025,8,134,SV Werder Bremen,80,1. FC Union Berlin,1,0,0
77320,2025-10-25T13:30:00Z,2025,8,91,Eintracht Frankfurt,98,FC St. Pauli,2,0,0
77324,2025-10-25T13:30:00Z,2025,8,87,Borussia Mönchengladbach,40,FC Bayern München,0,3,2
77325,2025-10-25T13:30:00Z,2025,8,95,FC Augsburg,1635,RB Leipzig,0,6,2
77326,2025-10-25T13:30:00Z,2025,8,175,TSG Hoffenheim,199,1. FC Heidenheim 1846,3,1,0
77327,2025-10-25T13:30:00Z,2025,8,100,Hamburger SV,131,VfL Wolfsburg,0,1,2
77319,2025-10-26T14:30:00Z,2025,8,6,Bayer 04 Leverkusen,112,SC Freiburg,2,0,0
77323,2025-10-26T16:30:00Z,2025,8,16,VfB Stuttgart,81,1. FSV Mainz 05,2,1,0
77332,2025-10-31T19:30:00Z,2025,9,95,FC Augsburg,7,Borussia Dortmund,0,1,2
77329,2025-11-01T14:30:00Z,2025,9,81,1. FSV Mainz 05,134,SV Werder Bremen,1,1,1
77330,2025-11-01T14:30:00Z,2025,9,1635,RB Leipzig,16,VfB Stuttgart,3,1,0
77333,2025-11-01T14:30:00Z,2025,9,80,1. FC Union Berlin,112,SC Freiburg,0,0,1
77334,2025-11-01T14:30:00Z,2025,9,98,FC St. Pauli,87,Borussia Mönchengladbach,0,4,2
77335,2025-11-01T14:30:00Z,2025,9,199,1. FC Heidenheim 1846,91,Eintracht Frankfurt,1,1,1
77328,2025-11-01T17:30:00Z,2025,9,40,FC Bayern München,6,Bayer 04 Leverkusen,3,0,0
77336,2025-11-02T14:30:00Z,2025,9,65,1. FC Köln,100,Hamburger SV,4,1,0
77331,2025-11-02T16:30:00Z,2025,9,131,VfL Wolfsburg,175,TSG Hoffenheim,2,3,2
77340,2025-11-07T19:30:00Z,2025,10,134,SV Werder Bremen,131,VfL Wolfsburg,2,1,0
77337,2025-11-08T14:30:00Z,2025,10,6,Bayer 04 Leverkusen,199,1. FC Heidenheim 1846,6,0,0
77343,2025-11-08T14:30:00Z,2025,10,80,1. FC Union Berlin,40,FC Bayern München,2,2,1
77344,2025-11-08T14:30:00Z,2025,10,175,TSG Hoffenheim,1635,RB Leipzig,3,1,0
77345,2025-11-08T14:30:00Z,2025,10,100,Hamburger SV,7,Borussia Dortmund,1,1,1
77342,2025-11-08T17:30:00Z,2025,10,87,Borussia Mönchengladbach,65,1. FC Köln,3,1,0
77339,2025-11-09T14:30:00Z,2025,10,112,SC Freiburg,98,FC St. Pauli,2,1,0
77341,2025-11-09T16:30:00Z,2025,10,16,VfB Stuttgart,95,FC Augsburg,3,2,0
77338,2025-11-09T18:30:00Z,2025,10,91,Eintracht Frankfurt,81,1. FSV Mainz 05,1,0,0
77346,2025-11-22T14:30:00Z,2025,11,40,FC Bayern München,112,SC Freiburg,6,2,0
77350,2025-11-22T14:30:00Z,2025,11,131,VfL Wolfsburg,6,Bayer 04 Leverkusen,1,3,2
77351,2025-11-22T14:30:00Z,2025,11,95,FC Augsburg,100,Hamburger SV,1,0,0
77354,2025-11-22T17:30:00Z,2025,11,65,1. FC Köln,91,Eintracht Frankfurt,3,4,2
77352,2025-11-23T16:30:00Z,2025,11,98,FC St. Pauli,80,1. FC Union Berlin,0,1,2
77348,2025-11-21T19:30:00Z,2025,11,81,1. FSV Mainz 05,175,TSG Hoffenheim,1,1,1
77347,2025-11-22T14:30:00Z,2025,11,7,Borussia Dortmund,16,VfB Stuttgart,3,3,1
77353,2025-11-22T14:30:00Z,2025,11,199,1. FC Heidenheim 1846,87,Borussia Mönchengladbach,0,3,2
77349,2025-11-23T14:30:00Z,2025,11,1635,RB Leipzig,134,SV Werder Bremen,2,0,0
77358,2025-11-30T18:30:00Z,2025,12,112,SC Freiburg,81,1. FSV Mainz 05,4,0,0
77360,2025-11-28T19:30:00Z,2025,12,87,Borussia Mönchengladbach,1635,RB Leipzig,0,0,1
77355,2025-11-29T14:30:00Z,2025,12,40,FC Bayern München,98,FC St. Pauli,3,1,0
77359,2025-11-29T14:30:00Z,2025,12,134,SV Werder Bremen,65,1. FC Köln,1,1,1
77361,2025-11-29T14:30:00Z,2025,12,80,1. FC Union Berlin,199,1. FC Heidenheim 1846,1,2,2
77362,2025-11-29T14:30:00Z,2025,12,175,TSG Hoffenheim,95,FC Augsburg,3,0,0
77356,2025-11-29T17:30:00Z,2025,12,6,Bayer 04 Leverkusen,7,Borussia Dortmund,1,2,2
77363,2025-11-30T14:30:00Z,2025,12,100,Hamburger SV,16,VfB Stuttgart,2,1,0
77357,2025-11-30T16:30:00Z,2025,12,91,Eintracht Frankfurt,131,VfL Wolfsburg,1,1,1
77365,2025-12-05T19:30:00Z,2025,13,81,1. FSV Mainz 05,87,Borussia Mönchengladbach,0,1,2
77367,2025-12-06T14:30:00Z,2025,13,16,VfB Stuttgart,40,FC Bayern München,0,5,2
77368,2025-12-06T14:30:00Z,2025,13,131,VfL Wolfsburg,80,1. FC Union Berlin,3,1,0
77369,2025-12-06T14:30:00Z,2025,13,95,FC Augsburg,6,Bayer 04 Leverkusen,2,0,0
77370,2025-12-06T14:30:00Z,2025,13,199,1. FC Heidenheim 1846,112,SC Freiburg,2,1,0
77371,2025-12-06T14:30:00Z,2025,13,65,1. FC Köln,98,FC St. Pauli,1,1,1
77366,2025-12-06T17:30:00Z,2025,13,1635,RB Leipzig,91,Eintracht Frankfurt,6,0,0
77372,2025-12-07T14:30:00Z,2025,13,100,Hamburger SV,134,SV Werder Bremen,3,2,0
77364,2025-12-07T16:30:00Z,2025,13,7,Borussia Dortmund,175,TSG Hoffenheim,2,0,0
77379,2025-12-12T19:30:00Z,2025,14,80,1. FC Union Berlin,1635,RB Leipzig,3,1,0
77375,2025-12-13T14:30:00Z,2025,14,91,Eintracht Frankfurt,95,FC Augsburg,1,0,0
77378,2025-12-13T14:30:00Z,2025,14,87,Borussia Mönchengladbach,131,VfL Wolfsburg,1,3,2
77380,2025-12-13T14:30:00Z,2025,14,98,FC St. Pauli,199,1. FC Heidenheim 1846,2,1,0
77381,2025-12-13T14:30:00Z,2025,14,175,TSG Hoffenheim,100,Hamburger SV,4,1,0
77374,2025-12-13T17:30:00Z,2025,14,6,Bayer 04 Leverkusen,65,1. FC Köln,2,0,0
77376,2025-12-14T14:30:00Z,2025,14,112,SC Freiburg,7,Borussia Dortmund,1,1,1
77373,2025-12-14T16:30:00Z,2025,14,40,FC Bayern München,81,1. FSV Mainz 05,2,2,1
77377,2025-12-14T18:30:00Z,2025,14,134,SV Werder Bremen,16,VfB Stuttgart,0,4,2
77385,2025-12-20T14:30:00Z,2025,15,16,VfB Stuttgart,175,TSG Hoffenheim,0,0,1
77384,2025-12-20T17:30:00Z,2025,15,1635,RB Leipzig,6,Bayer 04 Leverkusen,1,3,2
77382,2025-12-19T19:30:00Z,2025,15,7,Borussia Dortmund,87,Borussia Mönchengladbach,2,0,0
77386,2025-12-20T14:30:00Z,2025,15,131,VfL Wolfsburg,112,SC Freiburg,3,4,2
77387,2025-12-20T14:30:00Z,2025,15,95,FC Augsburg,134,SV Werder Bremen,0,0,1
77389,2025-12-20T14:30:00Z,2025,15,65,1. FC Köln,80,1. FC Union Berlin,0,1,2
77390,2025-12-20T14:30:00Z,2025,15,100,Hamburger SV,91,Eintracht Frankfurt,1,1,1
77383,2025-12-21T14:30:00Z,2025,15,81,1. FSV Mainz 05,98,FC St. Pauli,0,0,1
77388,2025-12-21T16:30:00Z,2025,15,199,1. FC Heidenheim 1846,40,FC Bayern München,0,4,2
77395,2026-01-27T19:30:00Z,2025,16,134,SV Werder Bremen,175,TSG Hoffenheim,0,2,2
77393,2026-01-09T19:30:00Z,2025,16,91,Eintracht Frankfurt,7,Borussia Dortmund,3,3,1
77394,2026-01-10T14:30:00Z,2025,16,112,SC Freiburg,100,Hamburger SV,2,1,0
77398,2026-01-10T14:30:00Z,2025,16,80,1. FC Union Berlin,81,1. FSV Mainz 05,2,2,1
77400,2026-01-10T14:30:00Z,2025,16,199,1. FC Heidenheim 1846,65,1. FC Köln,2,2,1
77392,2026-01-10T17:30:00Z,2025,16,6,Bayer 04 Leverkusen,16,VfB Stuttgart,1,4,2
77397,2026-01-11T14:30:00Z,2025,16,87,Borussia Mönchengladbach,95,FC Augsburg,4,0,0
77391,2026-01-11T16:30:00Z,2025,16,40,FC Bayern München,131,VfL Wolfsburg,8,1,0
77399,2026-01-27T19:30:00Z,2025,16,98,FC St. Pauli,1635,RB Leipzig,1,1,1
77404,2026-01-13T17:30:00Z,2025,17,16,VfB Stuttgart,91,Eintracht Frankfurt,3,2,0
